indep(__d, 1)	plot_vs(Pdbm[1], P_in)
-1.00000000000000000E1	-1.21238073202308239E1
-9.00000000000000000E0	-1.11242448550949957E1
-8.00000000000000000E0	-1.01255296750242474E1
-7.00000000000000000E0	-9.12866252147907176E0
-6.00000000000000000E0	-8.13581075969464607E0
-5.00000000000000000E0	-7.15153800858930211E0
-4.00000000000000000E0	-6.18431304719929642E0
-3.00000000000000000E0	-5.24496699537038857E0
-2.00000000000000000E0	-4.33673370395626989E0
-1.00000000000000000E0	-3.44702719265126944E0
0.00000000000000000E0	-2.55818744714385815E0
1.00000000000000000E0	-1.66056793009027714E0
2.00000000000000000E0	-7.52019673117228393E-1
3.00000000000000000E0	1.67717530872481646E-1
4.00000000000000000E0	1.09863961945521105E0
5.00000000000000000E0	2.03948036542314348E0
6.00000000000000000E0	2.98811094466178151E0
7.00000000000000000E0	3.94249323028964405E0
8.00000000000000000E0	4.90096282130247562E0
9.00000000000000000E0	5.86216408832096647E0
1.00000000000000000E1	6.82478336151398945E0


indep(__d, 1)	plot_vs(Pdbm[2], P_in)
-1.00000000000000000E1	-5.06472416355710209E1
-9.00000000000000000E0	-4.86386524111540286E1
-8.00000000000000000E0	-4.66275925225282606E1
-7.00000000000000000E0	-4.46125876160000612E1
-6.00000000000000000E0	-4.25890735009959087E1
-5.00000000000000000E0	-4.05404574433286413E1
-4.00000000000000000E0	-3.84096131402431151E1
-3.00000000000000000E0	-3.60571472713164187E1
-2.00000000000000000E0	-3.33533703029217676E1
-1.00000000000000000E0	-3.04396012906086266E1
0.00000000000000000E0	-2.76212569322925727E1
1.00000000000000000E0	-2.50620455896339811E1
2.00000000000000000E0	-2.27748386848502538E1
3.00000000000000000E0	-2.07174296016869830E1
4.00000000000000000E0	-1.88367861422067007E1
5.00000000000000000E0	-1.70832301971615719E1
6.00000000000000000E0	-1.54195651181765991E1
7.00000000000000000E0	-1.38229134003068843E1
8.00000000000000000E0	-1.22818916871338923E1
9.00000000000000000E0	-1.07943776654946388E1
1.00000000000000000E1	-9.36510391735912862E0


indep(__d, 1)	plot_vs(Pdbm[3], P_in)
-1.00000000000000000E1	-8.33214282659016447E1
-9.00000000000000000E0	-7.99026630584318021E1
-8.00000000000000000E0	-7.62789999418302234E1
-7.00000000000000000E0	-7.23373833020585266E1
-6.00000000000000000E0	-6.79260512208718659E1
-5.00000000000000000E0	-6.29098570323415096E1
-4.00000000000000000E0	-5.73310792895158539E1
-3.00000000000000000E0	-5.15934954870653950E1
-2.00000000000000000E0	-4.63497734692550711E1
-1.00000000000000000E0	-4.20444728883900254E1
0.00000000000000000E0	-3.86929148693038494E1
1.00000000000000000E0	-3.60667816729514490E1
2.00000000000000000E0	-3.39594497082091484E1
3.00000000000000000E0	-3.22731169280611141E1
4.00000000000000000E0	-3.09289708713364453E1
5.00000000000000000E0	-2.98071753279197882E1
6.00000000000000000E0	-2.87870063445956736E1
7.00000000000000000E0	-2.77901349646557350E1
8.00000000000000000E0	-2.67918792505660175E1
9.00000000000000000E0	-2.58224312121180333E1
1.00000000000000000E1	-2.49605948063016703E1


indep(__d, 1)	plot_vs(Pdbm[4], P_in)
-1.00000000000000000E1	-1.04079764466612201E2
-9.00000000000000000E0	-9.86758542561258167E1
-8.00000000000000000E0	-9.29299036835922720E1
-7.00000000000000000E0	-8.67919029168239931E1
-6.00000000000000000E0	-8.02419131938611763E1
-5.00000000000000000E0	-7.33400249888801170E1
-4.00000000000000000E0	-6.63159339156579186E1
-3.00000000000000000E0	-5.96432796133106802E1
-2.00000000000000000E0	-5.39069766510324744E1
-1.00000000000000000E0	-4.94687773062699598E1
0.00000000000000000E0	-4.62568618700232026E1
1.00000000000000000E0	-4.38122249865893920E1
2.00000000000000000E0	-4.17918101008749687E1
3.00000000000000000E0	-4.02788941849361048E1
4.00000000000000000E0	-3.93733927115876359E1
5.00000000000000000E0	-3.88433488292372431E1
6.00000000000000000E0	-3.82038550800361509E1
7.00000000000000000E0	-3.70524427657967559E1
8.00000000000000000E0	-3.54125131605370891E1
9.00000000000000000E0	-3.36199267485703945E1
1.00000000000000000E1	-3.19821918624291479E1


indep(__d, 1)	plot_vs(Pdbm[5], P_in)
-1.00000000000000000E1	-1.16399949263005409E2
-9.00000000000000000E0	-1.09984301441032373E2
-8.00000000000000000E0	-1.03272469657502386E2
-7.00000000000000000E0	-9.62351402627163921E1
-6.00000000000000000E0	-8.88754509601718468E1
-5.00000000000000000E0	-8.12775838617720048E1
-4.00000000000000000E0	-7.36909188848659191E1
-3.00000000000000000E0	-6.65816543110868686E1
-2.00000000000000000E0	-6.05159531756080327E1
-1.00000000000000000E0	-5.60123745588324518E1
0.00000000000000000E0	-5.30317907677480438E1
1.00000000000000000E0	-5.01457557066347448E1
2.00000000000000000E0	-4.67258716110230399E1
3.00000000000000000E0	-4.40404740907883951E1
4.00000000000000000E0	-4.25223075253398264E1
5.00000000000000000E0	-4.15072024291676644E1
6.00000000000000000E0	-3.98895118418859251E1
7.00000000000000000E0	-3.73430930272157280E1
8.00000000000000000E0	-3.45271631277182767E1
9.00000000000000000E0	-3.20052724293763280E1
1.00000000000000000E1	-3.00295137319032168E1


